1  Falsafa tushunchasining ma’nosi?
B  Biologik evolyutsiya
C  Tasodifiy voqealar
D  Moddiy resurslarning ko‘payishi
13  Madaniyatning jamiyatdagi vazifasi nimadan iborat?
A  #Munosabatlar va qadriyatlarni tartibga solish
B  Siyosiy boshqaruvni kuchaytirish
C  Faqat iqtisodiy tizimlarni rivojlantirish
D  Ijtimoiy guruhlarni bo‘lish
14  Qaysi jamiyat to‘liqsiz hisoblanadi?
A  #Bir oila, qishloq yoki ovul
B  Shahar yoki milliy birlik
C  Xalqaro sivilizatsiya
D  Umumiy madaniy jamiyat
15  Jamiyatning paydo bo’lishi qanday omillarga asoslanadi?
A  #Mehnat va muloqotga
B  Tasodifiy hodisalarning birlashuviga
C  Biologik evolyutsiya natijasiga
D  Tabiiy resurslarning mavjudliga
16  Forobiyning jamiyat haqidagi qarashlari nimaga asoslanadi?
A  #To‘liq va to‘liqsiz jamiyatlarga ajratishga
B  Faqat diniy tamoyillarga
C  Moddiy resurslarga tayanishga
D  Texnologik imkoniyatlarga
17  Madaniy jarayonlarning jamiyat rivojlanishidagi roli nimadan iborat?
A  #Xulq-atvor me’yorlari va o‘zaro munosabatlarni shakllantirish
B  Faqat moddiy boyliklarni oshirish
C  Siyosiy hokimiyatni kuchaytirish
D  Biologik ehtiyojlarni qondirish
18  Falsafaning vazifasi jamiyatni qanday tahlil qilishdan iborat?
A  #Umumiy tamoyillar va qonuniyatlar orqali
B  Texnologik rivojlanish darajasiga ko‘ra
C  Faqat tarixiy hujjatlar asosida
D  Subyektiv mulohazalar yordamida
19  Forobiyning fikriga ko‘ra, to‘liq jamiyatning birinchi bosqichi nima?
A  #Shahar jamiyati
B  Oila
C  Milliy birlik
D  Qishloq
20  Forobiy fikricha jamiyat…….ga bo‘linadi
A  #To‘liq, o’rta va to‘liqsiz jamiyat
B  Milliy va xalqaro jamiyat
C  Urbanizatsiyalashgan jamiyat
D  Qishloq xo‘jalik jamiyati
21  Qadriyatlar tizimi jamiyatda qanday rol o‘ynaydi?
A  #Ijtimoiy munosabatlarni tartibga soladi
B  Faqat shaxsiy manfaatlarni himoya qiladi
C  Siyosiy tizimlarni barqarorlashtiradi
D  Madaniy yutuqlarni o‘zlashtiradi
22  Forobiyning fikriga ko‘ra to‘liq jamiyatga qaysi darajalar kiradi?

A  #Yer yuzidagi jami insonlar, bir millat yoki bir dinga mansub kishilar, muayyan shahar jamiyati
B  Bir oila, bir qishloq yoki bir ovul
C  Faqat davlat darajasidagi jamiyat
D  Faqat madaniy birliklar
23  P.A.Sorokin jamiyatni qanday tizim sifatida tasvirlagan?
A  #Gorizontal, vertikal va fluktuatsion tizimlar
B  Ijtimoiy siyosiy tizimlar
C  Faqat iqtisodiy tizim
D  Etnik guruhlar yig‘indisi
24  Jamiyatning iqtisodiy sohasi nimani o‘z ichiga oladi?
A  #Ishlab chiqarish, iste'mol, taqsimot va mulkchilik munosabatlari
B  Siyosiy hokimiyatning taqsimlanishi
C  Madaniy qadriyatlarning rivojlanishi
D  Huquqiy normalar va qonunlar
25  Jamiyat siyosiy sohasining asosiy vazifasi nima?
A  #Jamiyat boshqaruvini tashkil qilish va hokimiyatni taqsimlash
B  Mehnat resurslarini rivojlantirish
C  Moddiy ne’matlar ishlab chiqarishni boshqarish
D  Axloqiy me’yorlarni tartibga solish
26  Ijtimoiy soha qanday munosabatlarni o‘z ichiga oladi?
A  #Odamlar o‘rtasidagi o‘zaro munosabatlar va ijtimoiy guruhlar faoliyatini
B  Faqat iqtisodiy jarayonlarni
C  Siyosiy hokimiyat va boshqaruvni
D  Ilm-fanning rivojlanishini
27  Madaniy sohaning asosiy xususiyati nima?
A  #Insonning axloqiy, estetik, diniy va bilim sohalaridagi faoliyati
B  Siyosiy boshqaruvni tashkil qilish
C  Huquqiy normalar ishlab chiqish
D  Moddiy ne’matlar ishlab chiqarish
28  Jamiyatning qaysi sohasi axloqiy me’yorlarni shakllantiradi?
A  #Madaniy soha
B  Iqtisodiy soha
C  Siyosiy soha
D  Huquqiy soha
29  Ijtimoiy sohaning rivojlanishida qaysi omil muhim rol o‘ynaydi?
A  #Jamiyatdagi tenglik va adolatni ta’minlash
B  Siyosiy qarorlarning qat’iyligi
C  Moddiy resurslarning ko‘payishi
D  Texnologik taraqqiyot
30  Madaniy sohaning rivojlanishiga qaysi jarayon ta’sir qiladi?
A  #Ta’lim, san’at, din va adabiyot rivojlanishi
B  Moddiy resurslarni ko‘paytirish
C  Siyosiy boshqaruv usullarining islohoti
D  Xalqaro savdo aloqalari
31  Ijtimoiy soha va madaniy soha o‘rtasidagi bog‘liqlik nimadan iborat?
A  #Madaniyat ijtimoiy munosabatlarning axloqiy va estetik jihatlarini shakllantiradi
B  Ijtimoiy soha faqat moddiy jarayonlarga asoslangan
C  Madaniyat faqat ijtimoiy guruhlarni boshqaradi
D  Ijtimoiy munosabatlar siyosiy tizimga bog‘liq
32  Huquqiy sohaning asosiy vazifasi nima?
A  #Qonunlar ishlab chiqish va ijtimoiy tartibni ta’minlash
B  Axloqiy qadriyatlarni shakllantirish
C  Siyosiy hokimiyatni rivojlantirish
D  Ijtimoiy tenglikni ta’minlash
33  Jamiyat bu….?
A  #Odamlar o‘rtasidagi o‘zaro munosabatlarning ijtimoiy tizimi
B  Iqtisodiy tizimlarning majmui
C  Faqat siyosiy hokimiyat shakli
D  Tabiiy omillar yig‘indisi
34  Jamiyatni o'rganishga oid yondashuvlar keltirilgan to‘g‘ri javobni belgilang.
A  #Formasion va sivilizasion yondashuvlarda
B  Faqat iqtisodiy va biologik yondashuvlarda
C  Diniy va tabiiy yondashuvlarda
D  Tarixiy va geografik tahlil asosida
35  Gnoseologiya nima?
A  #Bilish haqidagi ta'limot
B  Matematik nazariya
C  Falsafiy metod
D  Eksperimental o‘rganish
36  Epistemologiyaning asosiy o‘rganish ob’yekti nima?
A  #Haqiqiy ilmiy bilimlarning mazmuni
B  Axloqiy qoidalar
C  San'at nazariyasi
D  Iqtisodiy jarayonlar
37  Gnoseologiyada “Optimistlar” fikri qanday izohlanadi?
A  #Dunyoni bilish mumkin
B  Dunyoni bilish mumkin emas
C  Dunyoni bilish shubhali
D  Dunyoni bilishda imkoniyat mavjud emas
38  Empirizm vakillari ko‘rsatilgan to‘g‘ri javobni belgilang?
A  #F.Bekon, J.Lokk, T.Gobbs
B  I.Kant, G.Gegel
C  A.Avgustin, Platon
D  Dekart, Spinoza
39  Ratsionalizmga ko‘ra inson bilimining manbasi nima?
A  #Aql
B  Tajriba
C  Tasodif
D  Ijtimoiy sharoit
40  David Yumning bilish haqidagi yondashuvi qanday nomlanadi?
A  #Skeptitsizm
B  Agnostitsizm
C  Optimizm
D  Materializm
41  Kantning “narsa o‘zida” konsepsiyasi nimani anglatadi?
A  #Hissiyot va tafakkurga bog‘liq bo‘lmagan borliqni
B  Biz biladigan narsalarni
C  Ilmiy tadqiqot ob’yektini
D  Sub’yektiv bilimni
42  Bilimning asosiy shakllaridan biri qaysi javobda to‘g‘ri ko‘rsatilgan?
A  #Ilmiy bilim
B  G‘ayritabiiy bilim
C  Tasavvuriy bilim
D  Afsonaviy bilim
43  Bilishda sub’yektning roli qanday?

A  #Bilish faoliyatining manbai sifatida amal qiladi
B  Ob’yektning bir qismi
C  Tabiatning kuzatuvchisi
D  Ishlov beruvchi
44  Bilimning asosiy turlari bu qaysi javobda to‘gri keltirilgan?
A  #Haqiqiylik, ishonchlilik, asoslik
B  Sub’yektivlik, ratsionallik, ma’qullik
C  Tajriba, bilish, o‘rgatish
D  Tasavvur, tahlil, umumlashtirish
45  Empirizmga ko'ra haqiqiy bilimning asosi nimada?
A  #Tajriba
B  Aql
C  E'tiqod
D  G‘oyalar
46  Skeptitsizm qanday fikrga asoslanadi?
A  #Bilimning haqiqiyligiga shubha bildiradi
B  Bilimni butunlay inkor qiladi
C  Har qanday e’tiqodga asoslanadi
D  Bilimni mutlaq haqiqat deb biladi
47  “Bilim – bu asoslangan ishonch” degan fikr qaysi sohaga tegishli?
A  #Falsafiy gnoseologiya
B  Matematik nazariya
C  Eksperimental yondashuv
D  Axloqshunoslik
48  Kundalik amaliy bilim qanday xarakterlanadi?
A  #Tajribaga asoslangan, lekin tartibsiz
B  Nazariy isbotlangan
C  Faqat ilmiy bilishga asoslangan
D  Fan qoidalariga mos kelmaydi
49  Falsafaning asosiy vazifalaridan biri qaysi?
A  #Insonning dunyoda ma'naviy mo‘ljal olishiga yordam berish
B  Texnik jarayonlarni rivojlantirish
C  Iqtisodiy qonuniyatlarni tahlil qilish
D  San’at asarlarini yaratish
50  Noilmiy bilimning eng birinchi shakli nima?
A  #Kundalik amaliy bilim
B  Fizikaviy bilim
C  Kimyoviy bilim
D  Radikal bilim
51  Relyativizm nima?
A  #Haqiqat nisbiy va vaqtinchalikdir
B  Haqiqat mutlaq va o‘zgarmasdir
C  Haqiqatning ilmiy asosi yo‘qdir
D  Haqiqat shaxsiy e’tiqodga asoslanadi
52  Mifologik bilimning asosiy xususiyati nima?
A  #Borliqning ongdagi  g’ayritabiiy in’ikosi
B  Haqiqiy ilmiy bilimlarni aks ettirish
C  Ijtimoiy munosabatlarni o‘rganish
D  Faqat diniy ta’limotga asoslanish
53  Gnoseologiyada “Optimizm” qanday ta’limot?
A  #Dunyo bilish mumkinligi haqidagi ta’limot
B  Bilish imkoni yo‘q
C  Haqiqat mutlaq emas
D  Tajriba shart emas
54  Gnoseologiyada Agnostitsizm qanday fikrni ilgari suradi?
A  #Dunyoni bilish mumkin emas
B  Dunyoni bilish faqat tajribaga asoslanadi
C  Dunyoni bilish faqat aql orqali bilib bo‘ladi
D  Dunyoni bilish falsafiy tahlil talab qiladi
55  Bilishning asosiy shakllaridan biri sifatida ilmiy bilimning o‘ziga xos xususiyati nima?
A  #Nazariy asoslangan va isbotlangan bo‘lishi
B  Subyektiv kuzatishlarga asoslanishi
C  Amaliyotdan mustaqil bo‘lishi
D  Fantastik in’ikosni ifodalashi
56  Ratsionalizm va empirizm bir-biridan qanday farqlanadi?
A  #Ratsionalizm aqlga, empirizm esa tajribaga asoslanadi
B  Ratsionalizm tajribani inkor qiladi
C  Empirizm mutlaq haqiqatga ishonadi
D  Ikkalasi ham faqat nazariy metodlarni qo‘llaydi
57  Bilimni falsafiy tahlil qilishda qaysi masala eng muhim?
A  #Haqiqatni aniqlash mezonlarini belgilash
B  Tajriba va e’tiqodni solishtirish
C  Fikr va sezgilarni ajratish
D  Ilmiy tadqiqot usullarini rivojlantirish
58  Badiiy bilimning o‘ziga xos xususiyati nimada?
A  #Borliqni obrazlar orqali aks ettirishda
B  Matematik formulalarda izohlashda
C  Nazariy ma'lumotlarni ifodalashda
D  Haqiqatning mutlaq tahlilida
59  Sub’yekt va ob’yekt o‘rtasidagi asosiy munosabat nima?
A  #Sub’yekt bilish faoliyatining manbai, ob’yekt esa bilishning maqsadi
B  Ikkalasi ham bilish jarayonida faqat kuzatuvchi hisoblanadi
C  Subyekt bilish obyektining bir qismidir
D  Obyekt subyektning tasodifiy qismidir
60  Falsafiy bilimning bosh maqsadi nima?
A  #To’g’ri fikrlash mahoratini o’rgatish 
B  Kundalik hayotda yordam berish
C  Texnik jarayonlarni rivojlantirish
D  Axloqiy qoidalarni o‘rganish
61  Mifologik bilim bu?
A  #Fantastik rivoyatlar asosida yaratilgan bilim
B  Haqiqiy ilmiy tajribalarga asoslangan bilim
C  Kundalik amaliy tajribaga asoslangan bilim
D  Diniy kitoblardan olingan bilim
62  Ilmiy bilishning eng asosiy xususiyati nima?
A  #Borliqni ob’yektiv tarzda o‘rganish
B  Subyektiv fikrlarga asoslanish
C  Har qanday fantaziyaga ruxsat berish
D  Shaxsiy e’tiqodni asoslash
63  Optimizm va skeptitsizm o‘rtasidagi asosiy farq nima?
A  #Optimizm dunyoni bilish mumkinligini tan oladi, skeptitsizm esa shubha bildiradi
B  Optimizm bilimni inkor qiladi, skeptitsizm uni haqiqat deb biladi

C  Skeptitsizm faqat amaliyotga asoslanadi, optimizm esa nazariyaga
D  Har ikkisi ham haqiqatni mutlaq inkor qiladi
64  Empirizm va ratsionalizm qanday birlashadi?
A  #Ratsionalizm aqlni, empirizm esa tajribani birlashtiradi
B  Faqat ratsionalizm tajribani inkor etadi
C  Ikkalasi ham bir xil metodlarni qo‘llaydi
D  Empirizm faqat aql orqali bilish kerak deb hisoblaydi
65  Ilmiy bilim bilishning qanday shakli?
A  #Eng oliy shakli
B  Kundalik bilish shakli
C  Fantastik bilish shakli
D  Faqat amaliy bilish shakli
66  Falsafiy bilishda shaxsning o‘rni qanday?
A  #Shaxs bilish jarayonining faol sub’yekti hisoblanadi
B  Shaxs faqat kuzatuvchi rolini bajaradi
C  Shaxs obyektning tarkibiy qismi bo‘ladi
D  Faqatgina passiv ishtirokchi hisoblanadi
67  Bilish jarayonida sub’yekt va ob’yektning o‘zaro ta’siri qanday amalga oshadi?
A  #Subyekt obyektni bilishga harakat qiladi
B  Ob’yekt subyektni o‘rganadi
C  Sub’yekt va obyekt o‘zaro mustaqildir
D  Ob’yekt bilish jarayonining faoli hisoblanadi
68  Bilimning kundalik shakli qanday ifodalanadi?
A  #Kundalik hayot tajribasiga asoslanadi
B  Ilmiy izlanishlar bilan bog‘liq
C  Nazariy tahlilni talab qiladi
D  Sub’yektiv e’tiqodlarga asoslanadi
69  Empirizm qanday bilish shakliga asoslanadi?
A  #Tajribaga asoslangan bilim
B  Miflarga asoslangan bilim
C  Fantaziyaga asoslangan bilim
D  Ilmiy nazariyalarga asoslangan bilim
70  Ratsionalizmning asosiy manbasi nima?
A  #Aql va fikrlash
B  Kundalik tajriba
C  Sezgilar
D  Xayol
71  Mifologik bilim qanday tasvirlanadi?
A  #Fantastik rivoyatlarni aks ettiradi
B  Haqiqiy ilmiy bilimlar asosida yaratilgan
C  Shaxsiy kechinmalar asosida shakllangan
D  Ma’rifiy tarbiyaga tayanadi
72  Falsafaning ilmiy bilish bilan bog‘liq vazifasi aniqlang?
A  #Ilmiy bilimlarning ma’nosini aniqlash
B  Fantastik hikoyalarni ishlab chiqish
C  Kundalik amaliyotda yordam berish
D  Ijtimoiy munosabatlarni boshqarish
73  Bilimning asosiy turlaridan biri bo‘lgan badiiy bilim qanday ahamiyatga ega?
A  #Insonning ijodiy imkoniyatlarini faollashtiradi
B  Texnik jarayonlarni rivojlantiradi
C  Kundalik hayotda amaliy yordam beradi
D  Faqat nazariy ma’lumotlarni beradi
74  Ontologiya atamasi qaysi so‘zdan olingan?
A  #Yunoncha «ontos» - borliq, «logos», ta’limot. 
B  Rus tilidan olingan
C  Arabchadan olingan
D  Nemis  tilidan olingan 
75  Borliq haqidagi tasavvurlar bizgacha qanday yetib kelgan?
A  #Afsonalar va miflar orqali
B  Ilmiy dalillar orqali
C  Qadriyatlar, urf - odatlar orqali
D  Moddiy ishlab chiqarish orqali
76  «Hamma narsa yer va suvdan vujudga keladi va rivojlanadi, xatto biz ham yer va suvdan paydo bo‘lganmiz» degan g’oya muallifi kim?
A  #Ksenofan
B  Anaksimandr
C  Fales
D  Pifagor
77  «Hamma narsa sondir» kimning fikri?
A  #Pifagor
B  Fales
C  Anaksimandr
D  Ksenofan
78  Qaysi faylasuf borliqni kategoriya sifatida tavsiflagan?
A  #Parmenid
B  Kant
C  Fales
D  Pifagor
79  «Oqayotgan suvga ikki marta tushib bo’lmaydi» degan fikr muallifi kim?
A  #Geraklit
B  Fales
C  Anaksimandr
D  Ksenofan
80  Qaysi mutaffakir «Vujudi vojib» va «Vujudi mumkin»ning o‘zaro nisbatiga murojaat qiladi?
A  #Forobiy
B  Al - Xorazmiy
C  At – Termiziy
D  Al- Buxoriy
81  Ibn Sino fikricha, «Vujudi vojib» bu … ?
A  #Alloh
B  Inson
C  Makon
D  Vaqt
82  XVII – XVIII asr materialistik faylasuflari borliqni nima bilan bog‘lashadi?
A  #Fizik borliq bilan bog‘laydi.
B  Ommaviy ong bilan bog‘laydi.
C  Inson bilan bog‘laydi.
D  Din bilan bog’laydi.
83  «Substansiya» - bu nima?
A  #Dunyodagi nisbatan barqaror va mustaqil holda mavjud mohiyat.
B  Mutloq «Men» ning erkin, sof faoliyati.
C  Ob’yektiv rivojlanuvchi g‘oya.
D  Mehnat faoliyati
84  Borliqning asosiy kategoriyasi nima?
A  #«Borliq» va «yo‘qlik»
B  Tuproq Va Suv
C  Nasl Va Irq
D  Oila Va Mahalla
85  Falsafada borliq va yo‘qlik o‘rtasidagi o‘zaro aloqa qanday?
A  #Dialektik
B  Hech Qanday Aloqa Yo'q
C  Ijtimoiy
D  Axloqiy
86  Nima «falsafiy kategoriya sifatida dunyoni, uning butun rang – barangligi va turli – tuman namoyon bo‘lish shakllari bilan yaxlit aks ettirish imkonini beradi»?
A  #Borliq
B  Ma'naviy Hayot
C  Siyosat
D  Oila va Mahalla
87  Borliqning shakllari to‘liq aks etgan javobni toping.
A  #Tabiat, inson, ma'naviy, ijtimoiy, virtual borlig' 
B  Tabiat va inson
C  Faqat tabait borlig'i
D  Faqat inson borlig'i
88  «... – inson va uning faoliyatidan qat’i nazar mavjud bo‘lgan narsalar va jarayonlar borlig‘i», bu qanday borliq?
A  #Tabiat borlig‘i
B  Inson borlig‘i
C  Ma’naviy borliq
D  Ijtimoiy borliq.
89  Ma’naviy borliq nechtaga bo‘linadi?
A  #2 ta - ob’ektivlashgan va sub’ektivlashgan
B  3 ta - xususiy, ilmiy, tabiiy
C  4 ta - biologik, trahsgumanistik, real va noreal
D  5 ta - tabiiy, inqirozli tafakkur, ruh, ong
90  Individuallashgan ma’naviy borliq - bu nima?
A  #Insonning ichki dunyosi
B  Insonning tashqi dunyosi
C  Ijtimoiy makon va vaqt
D  Inson e’tiqodi
91  Inson yaratgan narsalar borlig‘i nima deb ataladi? 
A  #Ikkilamchi tabiat
B  Tabiat
C  Narsa – buyum
D  Landshaft.
92  Ontologiyada “o‘z – o‘zining asosi” nima deb nomlanadi? 
A  #Substansiya 
B  Materiya 
C  Reallik 
D  Dalil
93  Kim substansiyani bir vaqtning o‘zida ham tabiat, ham xudo sifatida ta’riflagan?
A  #Spinoza 
B  Gegel 
C  Fixte 
D  Dekart 
94  Birinchi asos sifatida ikkita substansiyani tan olgan ta’limotni aniqlang?
A  #Dualizm
B  Totemizm 
C  Fetishizm 
D  Deizm 
95  Dualizmning yorqin vakili qaysi olim?
A  #R.Dekart 
B  Gegel 
C  Shelling 
D  Spinoza 
96  Dunyoning negizida ikkita emas balki undan ko‘proq mohiyat borligini tan oluvchi ta’limot?
A  #Plyuralizm 
B  Dualizm 
C  Deizm 
D  Monizm 
97  Monizm ta’limotiga  to‘g‘ri ta’rif berilgan qatorni ko‘rsating?
A  #Birinchi asos sifatida ikkita substansiya olingan falsafiy yondashuv 
B  Dunyoning negizida ikkita emas undan ko‘proq mohiyat bor. 
C  Dunyoning narsalar va hodisalar rang – barangligi bir substansiyadan iborat
D  Dunyo negizida yagona asos yotadi deb hisoblovchi ta’limot
98  Monizmning shakllarini qaysi javobda to‘g‘ri ko‘rsatilgan?
A  #Idealistik va materialistik monizm 
B  Dun’viy, realistik, volyuntaristik 
C  Volyuntarizm, shamanizm 
D  Induizm, buddizm
99  Dunyoning birinchi asosi qanday nomlanadi?
A  #Substansiya 
B  Materializm 
C  Plyuralizm 
D  Idealizm
100  Materiya – hule tushunchasini falsafiy kategoriya sifatida ilk bor ishlatgan faylasuf kim?
A  #Platon 
B  Suqrot 
C  Aristotel 
D  Gegel
101  Materiyaning tarkibiy darajalari?
A  #Mikro dunyo, makro dunyo, mega dunyo
B  Faqat jonsiz narsalar
C  Jonli va jonsiz narsalar
D  Jamiyat va tabiat
102  Materiyaning tarkibiy darajalari – ierarxiyasida kim yoki nima asosiy o‘rinni egallaydi?
A  #Inson 
B  Dunyo 
C  Xudo 
D  Tabiat 
103  Ong falsafasi sohasida inson ongi va tanasining bir biridan mutlaqo mustaqil mohiyat ekani to’g’risidagi qarashni qaysi uyg’onish davri faylasufi qarashlarida uchratish mumkin?
A  #Rene Dekart
B  Georg Gegel
C  Benedikt Spinoza
D  Frensis Bekon
104  Amaldagi qonunlarga bo‘ysunmaydigan borliq nima?
A  #Cheksizlik 
B  Cheklilik 
C  Din
D  Nomuayanlik
105  Substansiyaning qaysi xususiyati hech narsaga bog‘liq bo‘lmagan, barqaror, o‘zgarmas va mutlaqlikni ifodalaydi? 
A  #Universallik, o‘z – o‘zini belgilash
B  Xunuklik
C  Go‘zallik 
D  Yagonalik  
106  “Men fikrlayapman demak, demak men mavjudman” iborasi muallifi kim? 
A  #Dekart 
B  Spinoza
C  Kant 
D  F.Nitshe 
107  Dunyo ikkita asosga ega degan ta’limot?
A  #Dualizm 
B  Monizm 
C  Plyuralizm
D  Cheksiz 
108  Lotinchada “nisbiy” degan ma’noni bildiruvchi yo‘nalish nomini ko‘rsating?
A  #Relyatsion
B  Materialistik
C  Substansional 
D  Materialistik.
109  O‘rta asrlar falsafasida nima makon va vaqtdan tashqarida deb yuritiladi?
A  #Xudo
B  Dunyo
C  Tabiat
D  Inkor
110  Subyektiv idealizm vakillari to‘g‘ri ko‘rsatilgan qatorni toping?
A  #Berkli, Yum, Max 
B  Kant, Yum 
C  Gegel, Leybnis, Yum 
D  Marks, Engels
111  Leybnitsning fikricha olam nimalardan tashkil topgan?
A  #Monadalardan 
B  Atomlardan
C  Efirdan
D  Tuproqdan
112  Makon va vaqt konsepsiyalarining tarixda shakllangan ikki muhim va bir –biridan farq qiladigan yo‘nalishlari qaysilar?
A  #Substansional va relyatsion
B  Relyatsion va irratsional 
C  Chekli va cheksiz
D  Chiziqli va nochiziqli
113  Sub’yektiv idealizm vakillari makon va vaqtga qay tarzda yondashadi?
A  #Individual ong sifatida 
B  Moddiy narsalar 
C  Obyektiv makon sifatida 
D  Taasurot sifatida
114  «Falsafa» atamasini birinchi bo‘lib qaysi faylasuf o‘z asarida qo‘llagan?
A  #Pifagor
B  Aristotel
C  Suqrot
D  Platon
115  Dunyoni tushunishning mohiyati nimada?
A  #Insonning o’zini tushinishi va o’zi orqali olamni tushunushi
B  U yoki bu narsaning odamlarga omad keltirishiga ishonch
C  Dunyoni faqat sezgilar orqali bilishda
D  Dunyoni tushunib bo’lmaydi
116  Dunyoqarashning qanday funksiyalari mavjud? 
A  #Bilish, qadriyatlarga munosabat, xulq atvorni tarbiyalash
B  Vayronkorlik
C  Bilish funksiyasi
D  Inqiroz tafakkuri
117  Dunyoqarashning tuzilishini toping?
A  #Dunyoni sezish, dunyoni idrok etish, dunyoni tushunish
B  Inson ongi
C  Inson ezgu niytlari
D  Mehnat faoliyati
118  Dunyoni sezish bu qanday jarayon?
A  #Bu o‘zini qurshagan dunyoni sezgilar yordamida hissiy idrok etish
B  Faqat ob’yektlarni anglash
C  Inson o‘zini tushunish
D  Aql yordamida tushunish
119  Mifolokgik dunyoqarashning funksiyasini toping?
A  #Kompensatorlik
B  Tarixiy
C  Dunyoviy bilim
D  Dunyoni sezish
120  Dunyoqarashning tarixiy shakllarini toping?
A  #Mif, din, falsafa, fan
B  Mehnat, ijtimoiy ong
C  Kino 
D  Yr. Fan, falsafa, ov
121  Mif atamasi qanday ma’nolarni anglatadi?
A  #Rivoyat, afsona
B  San’at, voqea
C  O‘yin, san’at
D  Afsona, urush
122  Miflar nimalar orqali ifodalanadi?
A  #Rivoyat, ertaklar
B  O’qish,ish
C  Mehnat, ov
D  Qo‘shiq, kuy
123  U yoki bu narsaning odamlarga omad keltirishiga ishonch nima deyiladi?
A  #Fetishizm
B  Odamlarga sig‘inish
C  Ruhlarga sig‘inish
D  Bulutlarga sig‘inish
124  Magiya bu nima?
A  #Ruhlar va ins-jinslarga sig‘inish
B  Hayvonlarga sig‘inish
C  Odamlarga sig‘inish
D  Yomg‘irga sig‘inish
125  Monoteizm nimani anglatadi?
A  #Yakka xudolik
B  Ko‘p xudolik
C  Xudosizlik 
D  Ruhlarga sig‘inish
126  Dunyoqarashning qaysi shakllari e’tiqod va tuyg‘ularga tayangan?
A  #Mifologik va diniy dunyoqarash
B  Falsafiy dunyoqarash
C  Ilmiy dunyoqarash
D  Kundalik dunyoqarash
127  Falsafiy dunyoqarash dunyoni nimalarga tayangan holda tushuntiradi?
A  #Aql va bilimlarga
B  Tuyg‘ularda
C  E’tiqodda
D  Sezgilarda
128  Falsafada birinchi o‘rinda nima turadi?
A  #Savol, masala
B  Mehnat qurollari
C  Mehnat taqsimoti
D  Ishlab chiqarish
129  Falsafa fanining predmeti nima?
A  #Olamning yaxlit birligini o’rganish
B  Erning strukturasini o’rganish
C  Osmon jismlarini  o’rganish
D  Fanni rivojlantirish
130  Kosmotsentrizmniing asosiy xususiyati nimadan iborat?
A  #Kosmos va tabiatni anglash
B  Yerni tadqiq etishni 
C  Odamni tadqiq etishni
D  Hayotni anglashni 
131  Quyidagilardan qaysi biri dialektik bilimlar sohasiga tegishli?
A  #Rivojlanish va o‘zgarishlar haqidagi ta’limot
B  Axloq haqidagi ta’limot 
C  Hayot haqidagi ta’limot
D  Qonunlar va usullarni o‘rganuvchi fan
